objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
13163,HH42941,Red,HH,Harrison Hills,Harrison Hills Park,Red,RD,Red,,,,http://apps.alleghenycounty.us/GIS/REDbase.png,5.34709529,,,Difficult,Loop,Dirt,,{E16EB87E-7915-4E11-9659-905309EACDF1},Active,0.0890151962365085
13164,HH42944,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.0370232,,,Easy,Access,Grass,,{711030C1-9358-4B10-8BEC-084E40085BD8},Active,0.000598007511201533
13165,HH42945,,HH,Harrison Hills,Harrison Hills Park,,,,,,,,0.19573759,,,Easy-Moderate,,Grass,,{33EEA6B3-5899-476F-98C9-ECEBF7F49DB1},Active,0.00335709272855124
13204,SC4781, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.16492437,,,,,,,{AE2A55E9-7F17-49AD-A466-B74C57291B71},Active,0.00269597260142554
13205,SC4813,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.00574511,,,,,,,{C5DA0CED-324D-4090-9D86-3431F8AD56FB},Closed,9.28162918063478e-05
13206,SC4815, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0345952,,,,,,,{45066A2F-B016-40A3-877A-654053CDDFBA},Active,0.000524931404558079
13207,SC4817, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0886406,,,Easy,,Dirt,,{AEEFE9B8-71B3-4DE6-A4E7-BD31579940CF},Active,0.00158479991168232
13208,SC4818, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.09666262,,,,,,,{5D18FAA7-C2D4-4F24-AB0B-894E89F3FA6E},Active,0.00160237485602824
13209,SC4820, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01977013,,,,,,,{711B545C-C5BA-4F7F-BA19-65DAFB6F2A24},Closed,0.000358480861233393
13210,SC4822,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.25428399,,,,,,,{999432D1-AFB8-4195-9572-270DB403ECF4},Closed,0.00413658230348307
13211,SC4823,Old Red Free Ride - Still Visible - Delete?,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03538262,,,,,,,{CD580185-966B-40FA-9197-94E91B2F589B},Closed,0.000559407614923926
13212,SC4824, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02349122,,,,,,,{3871AE5E-7613-4973-8886-237045DF5B6D},Active,0.000357956790077869
13213,SC4825, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03621281,,,,,,,{4DEBF643-C789-412B-BCDE-177D770C2F25},Closed,0.000586210237627846
13214,SC4829, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01870597,,,,,,,{50FD046A-0D29-4654-A1F2-2340F886DF6D},Active,0.000294220207116706
13215,SC4851, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0129572,,,,,,,{6CFD25C6-1401-4E60-9766-885647E2C373},Active,0.000232841025215196
13216,SC4894, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.06139299,,,,,,,{5B1D8E3F-3359-412A-85EE-EA4F504010F1},Closed,0.0011299759251574
13217,SC4903,Gravel or Paved Trail/Road,SC,Settlers Cabin,Settlers Cabin Park,Gravel or Paved Trail/Road,GY,Gray, , , ,http://apps.alleghenycounty.us/GIS/GRAY.png,0.67120671,,,Moderate-Difficult,Pt_to_Pt,Asphalt,No,{BF434E09-76BB-4193-BDDA-7CB0E555DF89},Active,0.0101715701978203
13348,SC4836, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04085468,,,,,,,{D7A33BE1-AE3F-4359-9717-E298DBF25562},Closed,0.000623247948394706
13349,SC8177,Blue,SC,Settlers Cabin,Settlers Cabin Park,Blue,BL,Blue,,,,http://apps.alleghenycounty.us/GIS/BLUEbase.png,1.84695193,,,Easy-Moderate,Loop,,,{F0ECE99C-C494-4491-AE74-C2D521514222},Active Trail,0.029556876699734
13350,SC13239,Red,SC,Settlers Cabin,Settlers Cabin Park,Red,RD,Red,,,,http://apps.alleghenycounty.us/GIS/REDbase.png,0.25660343,,,Easy-Moderate,Access,Dirt,,{87A33650-8C6E-4D9B-8B52-0B5F62798A1F},Active,0.00455481804780647
13351,SC4831, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.08203995,,,,,,,{B696B5F0-D677-4AB3-9CAB-FA407A90AB1E},Active,0.00129293400066663
13352,SC343,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.17683684,,,,,,,{95BC6624-567D-40E2-975E-0D75E4F7A1BF},Closed,0.0027607222783978
13353,SC344,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.07408893,,,,,,,{036E0593-DEEF-4919-8D4E-8F131834BEF3},Closed,0.00132689620605707
13354,SC345,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05545381,,,,,,,{0A3787A1-8A51-4976-BB82-89861DFB3960},Closed,0.000817238419946208
13355,SC346,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04681038,,,,,,,{09BD9891-85F8-43E0-8016-293E40E575D9},Closed,0.000750432048171627
13356,SC349,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.3025609,,,,,,,{BED1E131-EBCC-4B00-A5E1-F033984D2CB5},Closed,0.00552412984926797
13357,SC350,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.13187315,,,,,,,{42494A31-5522-49E6-956A-1EC90A1DAA4C},Closed,0.00239064824869464
13358,SC351,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.10206829,,,,,,,{AB36A78F-F9B0-43A9-9962-FE483956BF86},Closed,0.00189944990027843
13359,SC352,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.30074763,,,,,,,{8737ED8E-0891-41DC-85DA-6319AF83DEAD},Closed,0.00530487061324444
13360,SC353,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05906343,,,,,,,{4182D4E7-DB4F-4A6F-9042-A45D8739EFCE},Closed,0.000877889026580909
13361,SC354,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.2592668,,,,,,,{66E45A9E-A68B-456F-B325-D3E7DF1F04A3},Closed,0.0040949485453216
13362,SC355,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.15869682,,,,,,,{0FC89591-46D6-4A0A-AC00-72E6595C8A36},Closed,0.0028795958927949
13363,SC356,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.06460538,,,,,,,{1BF64CE9-2597-41E2-9F81-F1B86008B1B0},Closed,0.00107759079049157
13364,SC360,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0327344,,,,,,,{10754420-02CC-473C-8AC0-72B4E1D9C9A1},Closed,0.000585234969915869
13365,SC361,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.1384248,,,,,,,{A4A77F99-12B3-453F-91F2-561F04429072},Closed,0.00233256446822249
13366,SC362,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.0128913,,,,,,,{E927361B-D33F-41B6-92B0-27CF620026B7},Closed,0.000238212737567398
13367,SC363,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.02311617,,,,,,,{21C993DD-11D8-4139-96FD-8F16711F01E4},Closed,0.000343180096359048
13368,SC364,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.04247562,,,,,,,{91F99695-4AA6-4EC7-B2D8-F850F4E41E94},Closed,0.000770796340047499
13369,SC366, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.03280317,,,,,,,{C23DFB08-FA27-4ACD-9A90-5E3795F979F6},Closed,0.000576202186340078
13370,SC459,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.05415622,,,,,,,{BF356E12-0F90-4887-8F4D-EB4DBCCA141A},Closed,0.000853104441151227
13371,SC662,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.09451656,,,,,,,{6361D0A0-765C-40B6-8D5A-C2EB66BD4128},Closed,0.00155540152384521
13372,SC663,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.18295811,,,,,,,{28D4AA53-6249-44D3-8BE7-4CE3F3F61B58},Closed,0.00305473195524894
13373,SC664, ,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.01756329,,,,,,,{333F5EF1-37A8-43A9-BB6F-9DAB20E9A74B},Closed,0.000263583687222547
13374,SC665,Decommissioned Trail,SC,Settlers Cabin,Settlers Cabin Park,,,,,,,,0.30055219,,,,,,,{D878E8AC-E249-4C75-94D1-B7E5D87E1215},Closed,0.00544567787929548
